peak_group,group_two_theta,reliable,coverage_fraction,detected_frame_count,detected_fraction,roi_presence_count,roi_fraction,roi_presence_threshold,max_roi_area
286,12.0048,0,0.294118,3,0.176471,5,0.294118,0.000298188,0.00298188
287,12.0308,0,0.294118,4,0.235294,5,0.294118,0.000274235,0.00274235
288,12.0628,1,0.411765,7,0.411765,7,0.411765,0.000208733,0.00208733
289,12.0938,1,0.411765,6,0.352941,7,0.411765,0.000254745,0.00254745
290,12.1417,1,0.470588,8,0.470588,5,0.294118,0.000296373,0.00296373
291,12.1718,1,0.411765,7,0.411765,6,0.352941,0.000181386,0.00181386
292,12.2021,0,0.294118,4,0.235294,5,0.294118,0.0001,0.00098613
293,12.2488,1,0.294118,5,0.294118,4,0.235294,0.000143054,0.00143054
294,12.2806,0,0.411765,4,0.235294,7,0.411765,0.0001,0.000975892
295,12.3121,1,0.470588,8,0.470588,4,0.235294,0.0001,0.000217464
296,12.3415,1,0.470588,8,0.470588,5,0.294118,0.0001,0.000220458
297,12.3642,0,0.411765,3,0.176471,7,0.411765,0.0001,0.00047327
298,12.3989,1,0.411765,7,0.411765,6,0.352941,0.0001,0.000502729
299,12.4354,1,0.529412,9,0.529412,5,0.294118,0.000119709,0.00119709
300,12.4572,1,0.588235,10,0.588235,4,0.235294,0.0001,0.000830779
301,12.4846,1,0.529412,9,0.529412,4,0.235294,0.000111731,0.00111731
302,12.5171,1,0.352941,6,0.352941,4,0.235294,0.000118909,0.00118909
303,12.5522,1,0.529412,9,0.529412,4,0.235294,0.000172671,0.00172671
304,12.5937,1,0.352941,6,0.352941,5,0.294118,0.000191442,0.00191442
305,12.6409,1,0.588235,10,0.588235,3,0.176471,0.000329955,0.00329955
306,12.6698,1,0.470588,8,0.470588,2,0.117647,0.00029115,0.0029115
307,12.6927,1,0.529412,9,0.529412,3,0.176471,0.000153744,0.00153744
308,12.7337,0,0.235294,4,0.235294,4,0.235294,0.0001,0.000397133
309,12.762,1,0.294118,5,0.294118,4,0.235294,0.0001,0.00041595
310,12.7991,1,0.470588,8,0.470588,7,0.411765,0.000100111,0.00100111
311,12.8318,1,0.411765,7,0.411765,4,0.235294,0.000518557,0.00518557
312,12.8572,1,0.352941,6,0.352941,5,0.294118,0.00117177,0.0117177
313,12.8984,1,0.470588,8,0.470588,3,0.176471,0.00144088,0.0144088
314,12.914,0,0.235294,4,0.235294,3,0.176471,0.00141969,0.0141969
315,12.9537,0,0.235294,4,0.235294,3,0.176471,0.000697415,0.00697415
316,12.9845,1,0.352941,6,0.352941,6,0.352941,0.000203183,0.00203183
317,13.025,0,0.294118,3,0.176471,5,0.294118,0.000142671,0.00142671
318,13.0569,0,0.294118,3,0.176471,5,0.294118,0.000143654,0.00143654
319,13.0873,0,0.352941,3,0.176471,6,0.352941,0.000162673,0.00162673
320,13.1267,1,0.470588,5,0.294118,8,0.470588,0.000319565,0.00319565
321,13.1738,1,0.764706,13,0.764706,8,0.470588,0.000601679,0.00601679
322,13.2085,1,0.529412,9,0.529412,7,0.411765,0.000474383,0.00474383
323,13.2268,1,0.411765,6,0.352941,7,0.411765,0.000217751,0.00217751
324,13.2686,1,0.588235,7,0.411765,10,0.588235,0.000201628,0.00201628
325,13.312,1,0.470588,6,0.352941,8,0.470588,0.000266608,0.00266608
326,13.3518,1,0.470588,8,0.470588,6,0.352941,0.000331355,0.00331355
327,13.3848,1,0.294118,5,0.294118,5,0.294118,0.000605949,0.00605949
328,13.4103,1,0.411765,7,0.411765,5,0.294118,0.000710913,0.00710913
329,13.4511,0,0.176471,3,0.176471,3,0.176471,0.000430048,0.00430048
330,13.4949,0,0.294118,4,0.235294,5,0.294118,0.000674542,0.00674542
331,13.5473,1,0.294118,5,0.294118,3,0.176471,0.0012971,0.012971
332,13.5774,0,0.176471,3,0.176471,3,0.176471,0.00148954,0.0148954
333,13.6246,0,0.235294,4,0.235294,4,0.235294,0.00293738,0.0293738
334,13.655,0,0.235294,4,0.235294,2,0.117647,0.00248563,0.0248563
335,13.6878,1,0.294118,5,0.294118,3,0.176471,0.00291753,0.0291753
336,13.727,1,0.470588,8,0.470588,3,0.176471,0.00221927,0.0221927
337,13.7696,1,0.470588,8,0.470588,5,0.294118,0.00128756,0.0128756
338,13.8148,0,0.235294,4,0.235294,1,0.0588235,0.00202233,0.0202233
339,13.8284,0,0.117647,2,0.117647,1,0.0588235,0.00200964,0.0200964
340,13.8601,1,0.411765,7,0.411765,2,0.117647,0.00154942,0.0154942
341,13.923,1,0.294118,5,0.294118,5,0.294118,0.000389244,0.00389244
342,13.9506,1,0.529412,9,0.529412,6,0.352941,0.000423044,0.00423044
343,13.9984,0,0.411765,4,0.235294,7,0.411765,0.000499633,0.00499633
