frame,path,two_theta,normalized_intensity,prominence,width_deg,peak_group,group_two_theta,delta_from_group,source_methods,source_count,confidence_tier,tier_score,accepted_standard,raw_intensity,residual_height,conventional_prominence,matched_filter_responses,best_matched_scale,best_matched_response,local_center_height,left_side_rise,right_side_rise,two_sided_contrast,local_noise,local_shape_snr,local_slope,local_curvature,width_estimate_deg,nearest_stronger_peak_deg,likely_shoulder,top_peaks_truncated
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.770989,1.12991,1.12991,0,,,,matched,1,C,101.13,0,0.101598,-0.00211815,0,w5:1.12991,5,1.12991,-0.000176863,0.000159891,-8.13787e-07,-8.13787e-07,0.00052161,-0.00156014,0.00424726,-0.000227688,0,0.0316309,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.865882,6.4312e-05,6.4312e-05,0.0227331,,,,raw,1,C,100,0,0.101999,-0.00430637,6.4312e-05,,,0,-0.00121142,-0.000854153,-0.000462725,-0.000854153,0.000367569,-2.32378,0.00789739,-0.000263672,0.0227331,0.0474464,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,13.198007,0.000747215,0.000747215,0.0243385,,,,raw;shoulder,2,C,200.001,0,0.107084,-0.00729691,0.000747215,,,0,-0.00451093,0.000375323,-0.00229954,-0.00229954,0.0028016,-0.820795,-0.0324603,3.867e-05,0.0243385,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,13.261268,0.000321274,0.000321274,0.0100718,,,,raw,1,C,100,0,0.107537,-0.00914508,0.000321274,,,0,-0.00131927,0.00144859,-0.00135568,-0.00135568,0.00146699,-0.924118,-0.0131477,5.60482e-05,0.0100718,0.0474464,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,13.277084,0.000145347,0.000145347,0.0227908,,,,shoulder,1,C,100,0,0.107216,-0.009356,0.000145347,,,0,-0.000263818,0.0012349,-0.000242722,-0.000242722,0.00152015,-0.15967,-0.00364247,0.000152373,0.0227908,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,13.356161,4.13874e-05,4.13874e-05,0.00822187,,,,raw,1,C,100,0,0.10802,-0.0116597,4.13874e-05,,,0,-0.00140998,-0.0015561,0.00181596,-0.0015561,0.00170199,-0.914279,0.027178,0.000158301,0.00822187,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,13.451054,0.00203509,0.00203509,0.294242,,,,shoulder,1,C,100.002,0,0.109663,-0.0125116,0.00203509,,,0,-0.0284029,-0.0152472,0.00400009,-0.0152472,0.0223422,-0.682438,0.307584,0.000503968,0.294242,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,13.688286,0.00175131,0.00175131,0.0923781,,,,shoulder,1,C,100.002,0,0.110277,-0.0166636,0.00175131,,,0,-0.0323502,-0.000367137,-0.0135628,-0.0135628,0.0255229,-0.531398,-0.27207,0.000176215,0.0923781,0.0474464,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,14.067857,0.000132404,0.000132404,0.00965585,,,,raw,1,C,100,0,0.108678,-0.0182741,0.000132404,,,0,-0.0255249,-0.00753273,-0.00311423,-0.00753273,0.0249155,-0.302331,-0.0496742,-0.000279783,0.00965585,0.0316309,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,14.083673,0.000121926,0.000121926,0.0168696,,,,shoulder,1,C,100,0,0.108079,-0.0187456,0.000121926,,,0,-0.0302905,-0.00587651,0.000929651,-0.00587651,0.0365454,-0.1608,0.0366401,-0.000172198,0.0168696,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,14.099488,1.3313,1.3313,0,,,,matched,1,C,101.331,0,0.107807,-0.0187512,0,w2:1.3313,2,1.3313,-0.0338595,-0.00845701,0.00345409,-0.00845701,0.0459232,-0.184155,0.119368,-0.000294124,0,0.142339,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,14.131119,0.00492453,0.00492453,0.121594,,,,shoulder,1,C,100.005,0,0.108896,-0.0179863,0.00492453,,,0,-0.0333188,-0.0115236,0.000446477,-0.0115236,0.0324322,-0.355315,0.205558,4.73381e-05,0.121594,0.0316309,1,0
